TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSBTAT00000086349	ENSBTAE00000144633	20_0	ENSBTAT00000068572	ENSBTAE00000476948	3_0	bos_taurus	4	GSE41637						0.0										0.0													0.0																							0.0									
ENSBTAT00000086349	ENSBTAE00000144633	20_0	ENSBTAT00000073794	ENSBTAE00000476948	3_0	bos_taurus	4	GSE41637						0.0										0.0													0.0																							0.0									
ENSBTAT00000086349	ENSBTAE00000144633	20_0	ENSBTAT00000086349	ENSBTAE00000476948	3_0	bos_taurus	4	GSE41637						0.0										0.0													0.0																							0.0									
ENSBTAT00000036123	ENSBTAE00000144633	20_0	ENSBTAT00000036123	ENSBTAE00000473915	17_0	bos_taurus	11	GSE43013																																																	0.0												
ENSBTAT00000036123	ENSBTAE00000144633	20_0	ENSBTAT00000036123	ENSBTAE00000473915	17_0	bos_taurus	11	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000036123	ENSBTAE00000144633	20_0	ENSBTAT00000068572	ENSBTAE00000473915	17_0	bos_taurus	11	GSE43013																																																	0.0												
ENSBTAT00000036123	ENSBTAE00000144633	20_0	ENSBTAT00000068572	ENSBTAE00000473915	17_0	bos_taurus	11	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000036123	ENSBTAE00000144633	20_0	ENSBTAT00000072449	ENSBTAE00000473915	17_0	bos_taurus	11	GSE43013																																																	0.0												
ENSBTAT00000036123	ENSBTAE00000144633	20_0	ENSBTAT00000072449	ENSBTAE00000473915	17_0	bos_taurus	11	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000036123	ENSBTAE00000144633	20_0	ENSBTAT00000073794	ENSBTAE00000473915	17_0	bos_taurus	11	GSE43013																																																	0.0												
ENSBTAT00000036123	ENSBTAE00000144633	20_0	ENSBTAT00000073794	ENSBTAE00000473915	17_0	bos_taurus	11	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000036123	ENSBTAE00000144633	20_0	ENSBTAT00000086349	ENSBTAE00000473915	17_0	bos_taurus	11	GSE43013																																																	0.0												
ENSBTAT00000036123	ENSBTAE00000144633	20_0	ENSBTAT00000086349	ENSBTAE00000473915	17_0	bos_taurus	11	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000068572	ENSBTAE00000144633	20_0	ENSBTAT00000036123	ENSBTAE00000473915	17_0	bos_taurus	11	GSE43013																																																	0.0												
ENSBTAT00000068572	ENSBTAE00000144633	20_0	ENSBTAT00000036123	ENSBTAE00000473915	17_0	bos_taurus	11	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000068572	ENSBTAE00000144633	20_0	ENSBTAT00000068572	ENSBTAE00000473915	17_0	bos_taurus	11	GSE43013																																																	0.0												
ENSBTAT00000068572	ENSBTAE00000144633	20_0	ENSBTAT00000068572	ENSBTAE00000473915	17_0	bos_taurus	11	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000068572	ENSBTAE00000144633	20_0	ENSBTAT00000072449	ENSBTAE00000473915	17_0	bos_taurus	11	GSE43013																																																	0.0												
ENSBTAT00000068572	ENSBTAE00000144633	20_0	ENSBTAT00000072449	ENSBTAE00000473915	17_0	bos_taurus	11	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000068572	ENSBTAE00000144633	20_0	ENSBTAT00000073794	ENSBTAE00000473915	17_0	bos_taurus	11	GSE43013																																																	0.0												
ENSBTAT00000068572	ENSBTAE00000144633	20_0	ENSBTAT00000073794	ENSBTAE00000473915	17_0	bos_taurus	11	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000068572	ENSBTAE00000144633	20_0	ENSBTAT00000086349	ENSBTAE00000473915	17_0	bos_taurus	11	GSE43013																																																	0.0												
ENSBTAT00000068572	ENSBTAE00000144633	20_0	ENSBTAT00000086349	ENSBTAE00000473915	17_0	bos_taurus	11	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000073794	ENSBTAE00000144633	20_0	ENSBTAT00000036123	ENSBTAE00000473915	17_0	bos_taurus	11	GSE43013																																																	0.0												
ENSBTAT00000073794	ENSBTAE00000144633	20_0	ENSBTAT00000036123	ENSBTAE00000473915	17_0	bos_taurus	11	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000073794	ENSBTAE00000144633	20_0	ENSBTAT00000068572	ENSBTAE00000473915	17_0	bos_taurus	11	GSE43013																																																	0.0												
ENSBTAT00000073794	ENSBTAE00000144633	20_0	ENSBTAT00000068572	ENSBTAE00000473915	17_0	bos_taurus	11	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000073794	ENSBTAE00000144633	20_0	ENSBTAT00000072449	ENSBTAE00000473915	17_0	bos_taurus	11	GSE43013																																																	0.0												
ENSBTAT00000073794	ENSBTAE00000144633	20_0	ENSBTAT00000072449	ENSBTAE00000473915	17_0	bos_taurus	11	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000073794	ENSBTAE00000144633	20_0	ENSBTAT00000073794	ENSBTAE00000473915	17_0	bos_taurus	11	GSE43013																																																	0.0												
ENSBTAT00000073794	ENSBTAE00000144633	20_0	ENSBTAT00000073794	ENSBTAE00000473915	17_0	bos_taurus	11	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000073794	ENSBTAE00000144633	20_0	ENSBTAT00000086349	ENSBTAE00000473915	17_0	bos_taurus	11	GSE43013																																																	0.0												
ENSBTAT00000073794	ENSBTAE00000144633	20_0	ENSBTAT00000086349	ENSBTAE00000473915	17_0	bos_taurus	11	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000086349	ENSBTAE00000144633	20_0	ENSBTAT00000036123	ENSBTAE00000473915	17_0	bos_taurus	11	GSE43013																																																	0.0												
ENSBTAT00000086349	ENSBTAE00000144633	20_0	ENSBTAT00000036123	ENSBTAE00000473915	17_0	bos_taurus	11	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000086349	ENSBTAE00000144633	20_0	ENSBTAT00000068572	ENSBTAE00000473915	17_0	bos_taurus	11	GSE43013																																																	0.0												
ENSBTAT00000086349	ENSBTAE00000144633	20_0	ENSBTAT00000068572	ENSBTAE00000473915	17_0	bos_taurus	11	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000086349	ENSBTAE00000144633	20_0	ENSBTAT00000072449	ENSBTAE00000473915	17_0	bos_taurus	11	GSE43013																																																	0.0												
ENSBTAT00000086349	ENSBTAE00000144633	20_0	ENSBTAT00000072449	ENSBTAE00000473915	17_0	bos_taurus	11	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000086349	ENSBTAE00000144633	20_0	ENSBTAT00000073794	ENSBTAE00000473915	17_0	bos_taurus	11	GSE43013																																																	0.0												
ENSBTAT00000086349	ENSBTAE00000144633	20_0	ENSBTAT00000073794	ENSBTAE00000473915	17_0	bos_taurus	11	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000086349	ENSBTAE00000144633	20_0	ENSBTAT00000086349	ENSBTAE00000473915	17_0	bos_taurus	11	GSE43013																																																	0.0												
ENSBTAT00000086349	ENSBTAE00000144633	20_0	ENSBTAT00000086349	ENSBTAE00000473915	17_0	bos_taurus	11	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000036123	ENSBTAE00000144633	20_0	ENSBTAT00000036123	ENSBTAE00000482220	7_0	bos_taurus	7	GSE43013						0.0																																																							
ENSBTAT00000036123	ENSBTAE00000144633	20_0	ENSBTAT00000036123	ENSBTAE00000482220	7_0	bos_taurus	7	GSE41637												0.0				0.0													0.0																							0.0									
ENSBTAT00000036123	ENSBTAE00000144633	20_0	ENSBTAT00000068572	ENSBTAE00000482220	7_0	bos_taurus	7	GSE43013						0.0																																																							
ENSBTAT00000036123	ENSBTAE00000144633	20_0	ENSBTAT00000068572	ENSBTAE00000482220	7_0	bos_taurus	7	GSE41637												0.0				0.0													0.0																							0.0									
ENSBTAT00000036123	ENSBTAE00000144633	20_0	ENSBTAT00000072449	ENSBTAE00000482220	7_0	bos_taurus	7	GSE43013						0.0																																																							
ENSBTAT00000036123	ENSBTAE00000144633	20_0	ENSBTAT00000072449	ENSBTAE00000482220	7_0	bos_taurus	7	GSE41637												0.0				0.0													0.0																							0.0									
ENSBTAT00000036123	ENSBTAE00000144633	20_0	ENSBTAT00000073794	ENSBTAE00000482220	7_0	bos_taurus	7	GSE43013						0.0																																																							
ENSBTAT00000036123	ENSBTAE00000144633	20_0	ENSBTAT00000073794	ENSBTAE00000482220	7_0	bos_taurus	7	GSE41637												0.0				0.0													0.0																							0.0									
ENSBTAT00000036123	ENSBTAE00000144633	20_0	ENSBTAT00000086349	ENSBTAE00000482220	7_0	bos_taurus	7	GSE43013						0.0																																																							
ENSBTAT00000036123	ENSBTAE00000144633	20_0	ENSBTAT00000086349	ENSBTAE00000482220	7_0	bos_taurus	7	GSE41637												0.0				0.0													0.0																							0.0									
ENSBTAT00000068572	ENSBTAE00000144633	20_0	ENSBTAT00000036123	ENSBTAE00000482220	7_0	bos_taurus	7	GSE43013						0.0																																																							
ENSBTAT00000068572	ENSBTAE00000144633	20_0	ENSBTAT00000036123	ENSBTAE00000482220	7_0	bos_taurus	7	GSE41637												0.0				0.0													0.0																							0.0									
ENSBTAT00000068572	ENSBTAE00000144633	20_0	ENSBTAT00000068572	ENSBTAE00000482220	7_0	bos_taurus	7	GSE43013						0.0																																																							
ENSBTAT00000068572	ENSBTAE00000144633	20_0	ENSBTAT00000068572	ENSBTAE00000482220	7_0	bos_taurus	7	GSE41637												0.0				0.0													0.0																							0.0									
ENSBTAT00000068572	ENSBTAE00000144633	20_0	ENSBTAT00000072449	ENSBTAE00000482220	7_0	bos_taurus	7	GSE43013						0.0																																																							
ENSBTAT00000068572	ENSBTAE00000144633	20_0	ENSBTAT00000072449	ENSBTAE00000482220	7_0	bos_taurus	7	GSE41637												0.0				0.0													0.0																							0.0									
ENSBTAT00000068572	ENSBTAE00000144633	20_0	ENSBTAT00000073794	ENSBTAE00000482220	7_0	bos_taurus	7	GSE43013						0.0																																																							
ENSBTAT00000068572	ENSBTAE00000144633	20_0	ENSBTAT00000073794	ENSBTAE00000482220	7_0	bos_taurus	7	GSE41637												0.0				0.0													0.0																							0.0									
ENSBTAT00000068572	ENSBTAE00000144633	20_0	ENSBTAT00000086349	ENSBTAE00000482220	7_0	bos_taurus	7	GSE43013						0.0																																																							
ENSBTAT00000068572	ENSBTAE00000144633	20_0	ENSBTAT00000086349	ENSBTAE00000482220	7_0	bos_taurus	7	GSE41637												0.0				0.0													0.0																							0.0									
ENSBTAT00000073794	ENSBTAE00000144633	20_0	ENSBTAT00000036123	ENSBTAE00000482220	7_0	bos_taurus	7	GSE43013						0.0																																																							
ENSBTAT00000073794	ENSBTAE00000144633	20_0	ENSBTAT00000036123	ENSBTAE00000482220	7_0	bos_taurus	7	GSE41637												0.0				0.0													0.0																							0.0									
ENSBTAT00000073794	ENSBTAE00000144633	20_0	ENSBTAT00000068572	ENSBTAE00000482220	7_0	bos_taurus	7	GSE43013						0.0																																																							
ENSBTAT00000073794	ENSBTAE00000144633	20_0	ENSBTAT00000068572	ENSBTAE00000482220	7_0	bos_taurus	7	GSE41637												0.0				0.0													0.0																							0.0									
ENSBTAT00000073794	ENSBTAE00000144633	20_0	ENSBTAT00000072449	ENSBTAE00000482220	7_0	bos_taurus	7	GSE43013						0.0																																																							
ENSBTAT00000073794	ENSBTAE00000144633	20_0	ENSBTAT00000072449	ENSBTAE00000482220	7_0	bos_taurus	7	GSE41637												0.0				0.0													0.0																							0.0									
ENSBTAT00000073794	ENSBTAE00000144633	20_0	ENSBTAT00000073794	ENSBTAE00000482220	7_0	bos_taurus	7	GSE43013						0.0																																																							
ENSBTAT00000073794	ENSBTAE00000144633	20_0	ENSBTAT00000073794	ENSBTAE00000482220	7_0	bos_taurus	7	GSE41637												0.0				0.0													0.0																							0.0									
ENSBTAT00000073794	ENSBTAE00000144633	20_0	ENSBTAT00000086349	ENSBTAE00000482220	7_0	bos_taurus	7	GSE43013						0.0																																																							
ENSBTAT00000073794	ENSBTAE00000144633	20_0	ENSBTAT00000086349	ENSBTAE00000482220	7_0	bos_taurus	7	GSE41637												0.0				0.0													0.0																							0.0									
ENSBTAT00000086349	ENSBTAE00000144633	20_0	ENSBTAT00000036123	ENSBTAE00000482220	7_0	bos_taurus	7	GSE43013						0.0																																																							
ENSBTAT00000086349	ENSBTAE00000144633	20_0	ENSBTAT00000036123	ENSBTAE00000482220	7_0	bos_taurus	7	GSE41637												0.0				0.0													0.0																							0.0									
ENSBTAT00000086349	ENSBTAE00000144633	20_0	ENSBTAT00000068572	ENSBTAE00000482220	7_0	bos_taurus	7	GSE43013						0.0																																																							
ENSBTAT00000086349	ENSBTAE00000144633	20_0	ENSBTAT00000068572	ENSBTAE00000482220	7_0	bos_taurus	7	GSE41637												0.0				0.0													0.0																							0.0									
ENSBTAT00000086349	ENSBTAE00000144633	20_0	ENSBTAT00000072449	ENSBTAE00000482220	7_0	bos_taurus	7	GSE43013						0.0																																																							
ENSBTAT00000086349	ENSBTAE00000144633	20_0	ENSBTAT00000072449	ENSBTAE00000482220	7_0	bos_taurus	7	GSE41637												0.0				0.0													0.0																							0.0									
ENSBTAT00000086349	ENSBTAE00000144633	20_0	ENSBTAT00000073794	ENSBTAE00000482220	7_0	bos_taurus	7	GSE43013						0.0																																																							
ENSBTAT00000086349	ENSBTAE00000144633	20_0	ENSBTAT00000073794	ENSBTAE00000482220	7_0	bos_taurus	7	GSE41637												0.0				0.0													0.0																							0.0									
ENSBTAT00000086349	ENSBTAE00000144633	20_0	ENSBTAT00000086349	ENSBTAE00000482220	7_0	bos_taurus	7	GSE43013						0.0																																																							
ENSBTAT00000086349	ENSBTAE00000144633	20_0	ENSBTAT00000086349	ENSBTAE00000482220	7_0	bos_taurus	7	GSE41637												0.0				0.0													0.0																							0.0									
ENSBTAT00000036123	ENSBTAE00000460328	8_0	ENSBTAT00000036123	ENSBTAE00000476948	3_0	bos_taurus	33	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000036123	ENSBTAE00000460328	8_0	ENSBTAT00000036123	ENSBTAE00000476948	3_0	bos_taurus	33	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000036123	ENSBTAE00000460328	8_0	ENSBTAT00000068572	ENSBTAE00000476948	3_0	bos_taurus	33	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000036123	ENSBTAE00000460328	8_0	ENSBTAT00000068572	ENSBTAE00000476948	3_0	bos_taurus	33	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000036123	ENSBTAE00000460328	8_0	ENSBTAT00000073794	ENSBTAE00000476948	3_0	bos_taurus	33	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000036123	ENSBTAE00000460328	8_0	ENSBTAT00000073794	ENSBTAE00000476948	3_0	bos_taurus	33	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000036123	ENSBTAE00000460328	8_0	ENSBTAT00000086349	ENSBTAE00000476948	3_0	bos_taurus	33	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000036123	ENSBTAE00000460328	8_0	ENSBTAT00000086349	ENSBTAE00000476948	3_0	bos_taurus	33	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000068572	ENSBTAE00000460328	8_0	ENSBTAT00000036123	ENSBTAE00000476948	3_0	bos_taurus	33	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000068572	ENSBTAE00000460328	8_0	ENSBTAT00000036123	ENSBTAE00000476948	3_0	bos_taurus	33	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000068572	ENSBTAE00000460328	8_0	ENSBTAT00000068572	ENSBTAE00000476948	3_0	bos_taurus	33	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000068572	ENSBTAE00000460328	8_0	ENSBTAT00000068572	ENSBTAE00000476948	3_0	bos_taurus	33	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000068572	ENSBTAE00000460328	8_0	ENSBTAT00000073794	ENSBTAE00000476948	3_0	bos_taurus	33	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000068572	ENSBTAE00000460328	8_0	ENSBTAT00000073794	ENSBTAE00000476948	3_0	bos_taurus	33	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000068572	ENSBTAE00000460328	8_0	ENSBTAT00000086349	ENSBTAE00000476948	3_0	bos_taurus	33	GSE43013						0.0																													0.0														0.0												
